"ref_area.label","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers by sex and migrant status","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers by sex and migrant status","Inspectors per 10'000 employed persons"
"Argentina",3201.89,3.015,0.25
"Armenia",29.4,4.19,1.1
"Australia",1061.674,1.416,0.99
"Austria",2322.598,1.803,0.73
"Azerbaijan",22,4,0.45
"Burundi",707,13.84,
"Belgium",1425.74,0.12,0.56
"Burkina Faso",1894.74,4.4,0.31
"Bulgaria",86.517,3.507,1.41
"Bahrain",109.02,0.59,0.26
"Belarus",52.501,2.257,0.41
"Belize",909.523,5.187,1.38
"Brazil",1374,7.433,0.31
"Barbados",388.26,0.75,1.4
"Canada",1347.6,5.198,0.11
"Switzerland",2344.97,1.13,1.29
"Chile",3141.8,3.058,0.91
"Colombia",4782.889,6.46,0.51
"Costa Rica",9421.38,9.72,0.58
"Cuba",1017,25,0.76
"Cyprus",304.54,3.24,0.29
"Czechia",749.8,1.64,0.93
"Germany",1396.8,0.71,1.42
"Denmark",1613.14,1.03,
"Dominican Republic",336.35,17.93,0.39
"Algeria",1002.7,17.59,
"Ecuador",9,1,0.17
"Egypt",371,2.9,
"Spain",2319.639,1.712,1.07
"Estonia",472,1.4,0.66
"Finland",1261.504,1.028,1.26
"France",2580.8,8.2,0.8
"United Kingdom of Great Britain and Northern Ireland",691.65,0.78,0.41
"Georgia",18.32,2.35,0.53
"Guadeloupe",1349.01,6.75,
"Greece",115.42,0.91,
"Guatemala",27.9,0.14,0.22
"French Guiana",1057.33,0,
"Hong Kong, China",1188.09,6.782,0.5
"Croatia",548.69,2.58,1.1
"Hungary",429.1,1.6,0.57
"Isle of Man",390,2,
"India",325,116.8,
"Ireland",808.69,1.44,0.23
"Iceland",1028.305,1.38,0.95
"Israel",1073.66,1.624,0.52
"Italy",1137.39,2.01,
"Jordan",2312.55,13.15,0.69
"Japan",234.6,1.32,0.46
"Kazakhstan",41.5,4.3,
"Kyrgyzstan",22.1,4.1,
"Sri Lanka",21.2,0.48,0.57
"Lithuania",473.4,2.4,1.46
"Luxembourg",2551.402,0.798,3.15
"Latvia",288.72,3.53,1.15
"Macau, China",1891.2,6.93,2.65
"Republic of Moldova",87.8,4.3,0.45
"Mexico",2529,7.69,0.14
"Malta",684.698,1.252,0.59
"Myanmar",11.83,3.146,0.07
"Mongolia",53.3,6.4,0.85
"Mauritius",45,3.7,2.47
"Malaysia",3229.69,14.58,0.54
"Namibia",304.56,5,1.08
"New Caledonia",5.59,7,
"Nicaragua",4890.53,7.95,
"Netherlands",1038.11,0.38,
"Norway",518.6,1.29,1.1
"New Zealand",1200,2.3,0.34
"Pakistan",2691,44.25,
"Panama",3.119,0.326,0.54
"Philippines",227,3.2,0.13
"Poland",483.6,1.19,0.87
"Portugal",2493.8,2.69,0.94
"Palestine, State of",74,1,0.92
"Qatar",39.908,2.958,1.28
"Réunion",1988.58,2.26,
"Romania",97.47,2.42,1.92
"Russian Federation",96,5.032,
"Singapore",622,0.99,0.32
"El Salvador",28.68,0.14,0.47
"San Marino",2945.71,0,3.89
"Slovakia",359.98,1.12,1.12
"Slovenia",1487.86,2.2,0.94
"Sweden",748,0.7,0.5
"Seychelles",165.24,4.79,1.18
"Togo",484,16.3,0.39
"Thailand",718.08,4.9,0.41
"Trinidad and Tobago",64.3,1.9,0.19
"Tunisia",3639.11,13.07,
"Türkiye",4409.18,11.47,0.28
"Taiwan, China",432.8,4.5,
"Ukraine",166,7.6,0.75
"Uruguay",2788,3.73,0.63
"United States of America",2400,3.5,0.07
"Uzbekistan",10,3.6,0.22
"Saint Vincent and the Grenadines",851.092,2.62,
"South Africa",4.622,556.992,1.08
"Zimbabwe",322,6,0.56
"Republic of Korea",,3.93,0.75
"Puerto Rico",,8.18,
"Aruba",,,2.3
"Bhutan",,,0.52
"North Macedonia",,,1.72
"Peru",,,0.38
"Paraguay",,,0.1
"Senegal",,,0.17
"Venezuela, Bolivarian Republic of",,,0.14
