pub_number,title,abstract,publication_date,ipc_primary,kind
8631161,"Computer program product, system and method for field management and mobile inspection","Disclosed herein is a computer program product, system and method to provide field management and mobile inspection via an online platform web-application for use by construction and capital projects management and property management firms and their subcontractors/vendors. More particularly, in an aspect, use of an automated field management process includes a terminal-based solution (i.e., a Tablet-PC) for field-based personnel that synchronizes with a server for office personnel and dynamically generates field management documents, reports and other information. In further aspects, field management resources may be generated that are context-specific. A visual punch list may be generated using area plans and special codes to facilitate automated field management processes. Rules may be pre-established by users to expedite field management processes. Data records may be synchronized among multiple mobile terminals and at least one server.",20140114,G06F15/16,B2
8640089,Automated construction and deployment of complex event processing applications and business activity monitoring dashboards,"A system and method for constructing and deploying a business activity monitoring (BAM) dashboard associated with an event-based process are disclosed. A configuration module receives an event-based process identifier for an event-based process and data, such as inputs or outputs, for the event-based process. A generation module then generates a dashboard description that includes the identifier and an associated dashboard template having one or more dashboard components. This dashboard description is used by a dashboard server to automatically generate a BAM dashboard for monitoring the event-based process by using the association between the dashboard template and the event-based process to display data associated with the event-based process using one or more dashboard components.",20140128,G06F9/44,B2
8645529,Automated service level management of applications in cloud computing environment,"Automated service level management of applications can include automated deployment, monitoring, forecasting, and/or predicting based on a plurality of service levels comprising application level, application server platform level, virtual machine level, and/or infrastructure level, and optimizations at multiple levels using a plurality of techniques including automated dynamic application migration. Automated deployment of applications in a cloud computing environment using deployment descriptors comprises receiving values for service level parameters for an application, creating a deployment descriptor based on the parameters, identifying application servers that satisfy the deployment descriptors, and deploying the application to the identified application servers. Automated dynamic migration of applications in a cloud computing environment comprises deciding to migrate an application, obtaining application resource requirements, identifying application server candidates, selecting an application server from one of the candidates, and migrating the application.",20140204,G06F15/173,B2
8659286,Apparatus for calibrated non-invasive measurement of electrical current,"A system for accurate measurement and monitoring of AC or DC electrical current flowing through electrical conductors includes one or more current sensors, a receiver, and one or more calibration signal generators (“CSG's”) that can be plugged into outlets or otherwise coupled to the conductors so as to add automated, time-varying calibration signals to the conductors, such as current pulses or pulse patterns. The sensors are placed on a circuit breaker panel, around a cable, or otherwise near the conductors. The receiver distinguishes the calibration signals by their timing, pulse patterns, frequencies, or other time-varying features, uses their known amplitudes to calibrate the sensitivity of each sensor to each conductor, and determines the current flowing in each conductor. Among other applications, the invention can monitor building current usage, CO and data center power usage and distribution, and power line current leakage, and can calibrate invasive and/or non-invasive current sensors.",20140225,G01R15/18,B2
8706452,System and method for collision-free CAD design of pipe and tube paths,"A system, method, and computer program product for automated creation of collision-free paths for pipes and tubes in a CAD system. A method includes receiving inputs, in a data processing system, defining at least a start point and destination point for a pipe in a CAD environment, and a diameter for the pipe. The method includes determining sample points between the start point and destination point. The method also includes building a graph including the sample points and the start point and the destination points as nodes and a plurality of edges connecting the nodes. The method also includes computing a path through the graph between the start point and the destination point. The method also includes, for each node in the path, testing each edge connected to the node to determine if there is a collision along the edge between a test object model and a background model geometry in the CAD environment, and removing from the graph any edge that has a collision. If there is no collision along an edge of the path, then designating the path as a successful path and displaying the successful path to a user by the data processing system.",20140422,G06F17/50,B2
8725665,"Metrics monitoring and financial validation system (M2FVS) for tracking performance of capital, operations, and maintenance investments to an infrastructure","Techniques for evaluating the accuracy of a predicted effectiveness of an improvement to an infrastructure include collecting data, representative of at least one pre-defined metric, from the infrastructure during first and second time periods corresponding to before and after a change has been implemented, respectively. A machine learning system can receive compiled data representative of the first time period and generate corresponding machine learning data. A machine learning results evaluator can empirically analyze the generated machine learning data. An implementer can implement the change to the infrastructure based at least in part on the data from a machine learning data outputer. A system performance improvement evaluator can compare the compiled data representative of the first time period to that of the second time period to determine a difference, if any, and compare the difference, if any, to a prediction based on the generated machine learning data.",20140513,G06F15/18,B2
8731724,Automated fault detection and diagnostics in a building management system,Systems and methods for building automation system management are shown and described. The systems and methods relate to fault detection via abnormal energy monitoring and detection. The systems and methods also relate to control and fault detection methods for chillers. The systems and methods further relate to graphical user interfaces for use with fault detection features of a building automation system.,20140520,G05D23/00,B2
8786189,Integrated exit signs and monitoring system,"A monitoring system has integrated exit signs, which preferably have electroluminescent elements. The signs connect to internal wiring of a building, but local power sources can provide emergency power if building power is lost. Controllers on the signs communicate with a central workstation using building wiring and/or wireless communication. The controllers have one or more automated features for monitoring operation of the exit signs and the surrounding environment. These automated components, including an intensity sensor, an ambient light sensor, a temperature sensor, a smoke detector, a camera, a speaker, a microphone, a motion detector, an RFID detector, and the like. Because the signs are widely distributed throughout the building, operators can get detailed information of the building environment, security, fire, smoke, temperature, etc. The exit signs can store this information locally and can communicate useful information using a communication link to the central workstation.",20140722,H05B37/02,B2
8805579,Submersible robotically operable vehicle system for infrastructure maintenance and inspection,"A configurable robotic apparatus and system is disclosed that is remotely operable in difficult, hazardous, subterranean, or submerged environs. The apparatus merges diverse disciplines to effect inspecting, cleaning, treating, repairing or otherwise maintaining a wide variety of materials and conditions. Deployment environments include power, municipal water and wastewater plants, surface and submerged infrastructures (pipes, lines, conduits), and like industrial applications. Extensible and articulating modules, configurable through standardized and interchangeable connectors, provide unique flexibility, scalability and versatility to accommodate a wide range of shapes, surfaces, and obstacles. In-module intelligence and instrumentation eliminates the need for constant manual control through autonomous operation capable of simultaneous optimization and synchronization of multiple work processes, but manual override and remote control is provided to overcome unanticipated limitations. Benefits include improved efficiency, cost, and safety over prior art. High-performance, one-pass operation reduces facility downtime while incorporating environmentally responsible debris recovery.",20140812,B25J9/00,B2
8807823,Automated mix in-cup apparatus and the method of operating the same,"The present disclosure describes an automated blend in-cup apparatus and the related method of operation. The disclosure relates generally to the field of mixing consumable material. More specifically, the disclosure relates to a mixer that is automatically operable to lower a mixing blade into a cup or vessel that contains material to be blended/mixed. A shield is automatically lowered to at least partially isolate the cup. After mixing, the shield and blade are automatically retracted, and the cup is removed from the apparatus. The shield and blade may be automatically lowered again for a cleaning operation. Use of the apparatus can be accomplished with one hand. Overall, the apparatus contains various structural and safety elements that provide a unique construction and method of operating the apparatus. The apparatus is effective, fast, easy to operate, safe, and clean.",20140819,A47J31/60,B2
