topic_id,n_papers,n_patents,paper_median,patent_median,lag_first,lag_q25,lag_median,lag_median_years
8,973,56,2023.0,2021.0,9,-1,-2,-2.0
1,46,65,2021.0,2020.0,5,6,-1,-1.0
7,7,148,2021.0,2020.0,-6,0,-1,-1.0
4,3,61,2021.0,2020.0,-1,7,-1,-1.0
12,8,55,2020.5,2020.0,-1,1,0,-0.5
11,257,49,2020.0,2020.0,9,4,0,0.0
14,411,12,2022.0,2022.0,13,0,-1,0.0
3,1908,16,2022.0,2023.5,15,2,1,1.5
13,7,51,2015.0,2017.0,1,4,2,2.0
5,28,170,2015.0,2019.0,5,8,4,4.0
6,21,22,2016.0,2023.0,13,9,7,7.0
2,3,27,2008.0,2020.0,13,18,12,12.0
