pub_number,dominant_topic,max_prob
8631161,9,0.6533
8640089,9,0.8607
8645529,9,0.9146
8659286,5,0.5318
8706452,1,0.3667
8725665,9,0.4855
8731724,4,0.7508
8786189,5,0.6417
8805579,5,0.9477
8807823,4,0.2536
8812156,5,0.3656
8831784,4,0.4451
8866606,0,0.4699
8880241,5,0.9393
8892347,1,0.2675
8924018,11,0.2283
8924936,8,0.5301
8943892,5,0.5214
8949042,11,0.2618
8950540,7,0.4344
8950931,4,0.3518
9014415,8,0.2929
9019117,13,0.5177
9069763,9,0.8393
9070216,0,0.6263
9094816,9,0.43
9162753,5,0.5597
9164512,1,0.72
9176844,8,0.5176
9245436,13,0.5409
9266625,5,0.6399
9277632,5,0.6515
9302301,5,0.4951
9361598,9,0.5848
9413155,2,0.5983
9430318,9,0.7861
9440317,2,0.6655
9442821,9,0.5723
9466203,13,0.6852
9467500,9,0.8945
9494940,5,0.7659
9508243,13,0.8936
9537954,13,0.8901
9546054,5,0.2453
9547977,0,0.9895
9550312,13,0.9986
9569061,9,0.5426
9575491,0,0.5202
9623554,10,0.3736
9639413,4,0.8082
9652985,7,0.3841
9697724,5,0.6913
9720411,7,0.4647
9736699,5,0.3071
9746444,0,0.3587
9753838,8,0.5249
9767685,5,0.7435
9784599,5,0.3586
9789628,13,0.998
9800667,9,0.8803
9802661,5,0.85
9823658,0,0.3655
9898558,0,0.4958
9906413,9,0.5361
9921068,5,0.3741
9928730,5,0.6952
9940222,9,0.5889
9961572,9,0.43
9964948,7,0.6828
9965965,0,0.2445
9990836,0,0.9964
9995086,11,0.7263
10044563,13,0.9429
10081366,7,0.4255
10100541,4,0.7092
10140786,13,0.9509
10146892,0,0.5104
10162698,13,0.6481
10168287,1,0.4702
10169444,9,0.9498
10181161,7,0.8138
10217207,8,0.5398
10225005,5,0.8872
10228278,13,0.3764
10259514,5,0.918
10303443,9,0.476
10315740,12,0.4314
10324223,7,0.5684
10331141,7,0.843
10346745,9,0.5311
10346747,9,0.5143
10353694,7,0.8142
10354501,5,0.7748
10363684,13,0.999
10372143,7,0.3936
10372591,10,0.4747
10380498,9,0.5924
10444256,5,0.5917
10451294,4,0.7227
10497250,9,0.329
10516351,5,0.8627
10521973,9,0.5603
