organization,n_patents,is_construction
INTERNATIONAL BUSINESS MACHINES,32,False
STATE FARM MUTUAL AUTOMOBILE INSURANCE,27,False
CAVH,23,False
SAMSUNG ELECTRONICS,21,False
THE BOEING,20,False
CYBERNET SYSTEMS,12,False
BANK OF AMERICA,10,False
SAUDI ARABIAN OIL,10,False
AMBIENT AI,10,False
ZOOX,9,False
CAPITAL ONE SERVICES,9,False
JOHNSON CONTROLS TECHNOLOGY,8,False
MICROSOFT TECHNOLOGY LICENSING,8,False
REDZONE ROBOTICS,8,False
HYUNDAI MOTOR,8,False
MAY MOBILITY,8,False
ELID TECHNOLOGY INTERNATIONAL PTE,8,False
JOHNSON CONTROLS TYCO IP LLP,8,False
ROBERT BOSCH,8,False
VERIFI,7,False
