pub_number,cluster_id,in_citation_net
20150378866,-1,True
11397606,-1,True
20250252849,-1,True
9789628,-1,True
12389886,-1,True
10547507,-1,True
12360537,-1,True
20190160677,-1,True
20150370674,-1,True
12494086,-1,True
20240126839,-1,True
20250111677,-1,True
20240381582,-1,True
11014238,-1,True
9430318,-1,True
20240027980,-1,True
20240078919,-1,True
20190160482,-1,True
11719005,-1,True
20220092856,-1,True
10997329,-1,True
20240012905,-1,True
20240264596,-1,True
11127290,-1,True
10380498,-1,True
12443902,-1,True
20200394784,-1,True
11481714,-1,True
10574559,-1,True
12190726,-1,True
12313099,-1,True
12524219,-1,True
20150353196,-1,True
20200260295,-1,True
20220244127,-1,True
20240426471,-1,True
20230152062,-1,True
11561541,-1,True
20220078188,-1,True
20160363932,-1,True
20230039822,-1,True
20200040556,-1,True
20240168479,-1,True
20210031756,-1,True
10140786,-1,True
20220176976,-1,True
20210073692,-1,True
11553055,-1,True
20160052127,-1,True
20140320011,-1,True
11442438,-1,True
12202634,-1,True
20220164327,-1,True
20160250775,-1,True
20240288872,-1,True
10081366,-1,True
20230316166,-1,True
11969901,-1,True
12480275,-1,True
20200072744,-1,True
20250018939,-1,True
11495118,-1,True
12579120,-1,True
11874676,-1,True
20140104972,-1,True
20160096637,-1,True
20210031780,-1,True
20250225263,-1,True
12608939,-1,True
11137732,-1,True
10521973,-1,True
20220327264,-1,True
20200050192,-1,True
12139279,-1,True
12484096,-1,True
11769285,-1,True
11932244,-1,True
12307698,-1,True
20210263514,-1,True
10516351,-1,True
11231709,-1,True
20230375376,-1,True
20250124787,-1,True
12613897,-1,True
11475385,-1,True
20210325070,-1,True
20250251256,-1,True
9767685,-1,True
10225005,-1,True
20190171950,-1,True
12555471,333,True
11880347,-1,True
10635067,-1,True
20160363543,-1,True
20210021595,-1,True
20200209823,-1,True
20230358642,-1,True
11868869,-1,True
10331141,-1,True
11467574,-1,True
20230185303,-1,True
12062231,-1,True
20230260062,-1,True
20230320331,-1,True
12443182,-1,True
20250116535,-1,True
12571646,-1,True
10967970,-1,True
9164512,-1,True
9940222,-1,True
10738456,-1,True
10925536,-1,True
20220292619,-1,True
12275428,-1,True
20210082296,-1,True
20220386197,-1,True
20210049027,-1,True
20250246882,-1,True
9753838,-1,True
12540687,-1,True
10902207,-1,True
20160264223,-1,True
20250022273,-1,True
20250111668,-1,True
20250128101,-1,True
11361537,-1,True
20230108669,-1,True
12452363,-1,True
11466805,-1,True
20160328313,-1,True
20250117703,-1,True
12056917,-1,True
20240019823,-1,True
20210146631,-1,True
20160330219,-1,True
11022976,-1,True
20200391061,-1,True
8812156,-1,True
10614709,-1,True
12632709,-1,True
20230290122,-1,True
10917168,-1,True
20250069178,-1,True
20220375337,-1,True
20210231254,-1,True
20220062936,-1,True
12130890,-1,True
10630704,-1,True
10821971,-1,True
20240028005,-1,True
11158173,-1,True
11566402,-1,True
20210114219,-1,True
10630715,-1,True
20240102683,-1,True
11125537,-1,True
20190271957,-1,True
20210197851,-1,True
20220044567,-1,True
11875665,-1,True
20220278728,-1,True
20220108242,-1,True
20200077314,-1,True
10614222,-1,True
8924018,-1,True
12031922,-1,True
8640089,-1,True
20200364034,-1,True
12556441,-1,True
20190333378,-1,True
20210044496,-1,True
20240078359,-1,True
9466203,-1,True
20200378927,-1,True
10497250,-1,True
10929193,-1,True
11310126,-1,True
11972253,-1,True
20210082297,-1,True
20220404825,-1,True
10630716,-1,True
11037024,-1,True
20140358416,-1,True
20240263544,-1,True
9440317,-1,True
11656298,-1,True
20220282820,-1,True
20200089761,-1,True
12143894,-1,True
20190368133,-1,True
12469004,-1,True
20230166913,-1,True
20240141788,-1,True
20200400483,-1,True
11583770,-1,True
20190315343,-1,True
11216663,-1,True
20190206044,-1,True
10630703,-1,True
10346745,-1,True
20220051543,-1,True
20220188697,-1,True
20240090489,-1,True
9784599,-1,True
11442836,-1,True
9906413,-1,True
12580833,-1,True
20190205340,-1,True
20200259722,-1,True
20230091883,-1,True
20170019483,-1,True
20230044469,-1,True
20230325258,-1,True
20140006601,-1,True
11920814,-1,True
20250244741,-1,True
10181161,-1,True
20220267002,-1,True
20230342144,-1,True
11636359,-1,True
20190392712,-1,True
11847913,-1,True
12632950,-1,True
20200200592,-1,True
20230065791,-1,True
20230224728,-1,True
10589740,-1,True
8949042,-1,True
11881015,-1,True
20240395047,-1,True
20230368074,-1,True
20200072706,-1,True
20200401134,-1,True
11415425,-1,True
11377212,-1,True
20200160193,-1,True
12051047,-1,True
20250155960,-1,True
20240402113,-1,True
20240428391,-1,True
20190205241,-1,True
11481734,-1,True
12511997,-1,True
20220154430,-1,True
20150369955,-1,True
8880241,-1,True
12398837,-1,True
11812196,-1,True
11493939,-1,True
20150212901,-1,True
12046145,-1,True
9965965,-1,True
10228278,-1,True
11487264,-1,True
20230038457,-1,True
12639952,-1,True
20200048847,-1,True
11505903,-1,True
20210115368,-1,True
20200168085,-1,True
11710085,-1,True
20140336928,-1,True
10909866,-1,True
12130204,-1,True
10162698,-1,True
8786189,-1,True
20160010878,-1,True
20250224993,-1,True
20230267837,-1,True
12347038,-1,True
20230386006,-1,True
20230251848,-1,True
20220390330,-1,True
12548341,-1,True
20150067569,-1,True
20240210330,-1,True
11262196,-1,True
20220375336,-1,True
12271729,-1,True
10917483,-1,True
12353222,-1,True
20210123965,-1,True
20220119005,-1,True
12286120,-1,True
9569061,-1,True
20250078491,-1,True
10732011,-1,True
8950931,-1,True
10574683,-1,True
20240422055,-1,True
12098980,-1,True
11074292,-1,True
9176844,-1,True
9623554,-1,True
11594021,-1,True
20150040661,-1,True
20210041868,-1,True
20160109865,-1,True
20250115283,-1,True
10100541,-1,True
12200406,-1,True
12585971,-1,True
20160212818,-1,True
20200037359,-1,True
20220147043,-1,True
20220028054,-1,True
9547977,-1,True
12550299,-1,True
20230158752,-1,True
20200349842,-1,True
20240404203,-1,True
20140233141,-1,True
20210169409,-1,True
10372591,-1,True
12351059,-1,True
20200050162,-1,True
20250085189,-1,True
20210248915,-1,True
20230053773,-1,True
11555912,-1,True
12197829,-1,True
11807278,-1,True
20240294189,-1,True
20200035098,-1,True
11724275,-1,True
20200058161,-1,True
20200282564,-1,True
8892347,-1,True
20210298122,-1,True
20210389257,-1,True
12586140,-1,True
20230237795,-1,True
10962133,-1,True
20220036319,-1,True
9550312,-1,True
20200054216,-1,True
20230024877,-1,True
20220383436,-1,True
20200053523,-1,True
20140313851,-1,True
20210099870,-1,True
20210366296,-1,True
20230044197,-1,True
11492905,-1,True
