norm_number,Patent Number,Kind Code,Date Published,Filing Date,target_xml
12632709,12632709,B1,2026-05-19,2025-06-06,ipg260519.xml
12613164,12613164,B1,2026-04-28,2025-08-27,ipg260428.xml
12615334,12615334,B1,2026-04-28,2025-10-07,ipg260428.xml
12613897,12613897,B1,2026-04-28,2025-04-30,ipg260428.xml
12607996,12607996,B1,2026-04-21,2025-07-23,ipg260421.xml
12583715,12583715,B1,2026-03-24,2023-06-05,ipg260324.xml
12580833,12580833,B1,2026-03-17,2024-11-08,ipg260317.xml
12556441,12556441,B1,2026-02-17,2024-08-15,ipg260217.xml
12553766,12553766,B1,2026-02-17,2025-07-14,ipg260217.xml
12548341,12548341,B1,2026-02-10,2025-06-02,ipg260210.xml
12562280,12562280,B2,2026-02-24,2025-07-15,ipg260224.xml
12488622,12488622,B2,2025-12-02,2023-12-22,ipg251202.xml
12494086,12494086,B2,2025-12-09,2023-12-22,ipg251209.xml
12518567,12518567,B2,2026-01-06,2023-12-22,ipg260106.xml
12485330,12485330,B1,2025-12-02,2025-07-15,ipg251202.xml
12479606,12479606,B1,2025-11-25,2023-03-30,ipg251125.xml
12480275,12480275,B1,2025-11-25,2022-11-09,ipg251125.xml
12469004,12469004,B1,2025-11-11,2023-03-24,ipg251111.xml
12452363,12452363,B1,2025-10-21,2023-09-01,ipg251021.xml
12351059,12351059,B1,2025-07-08,2024-06-28,ipg250708.xml
12625255,12625255,B2,2026-05-12,2024-01-24,ipg260512.xml
12511997,12511997,B2,2025-12-30,2024-10-10,ipg251230.xml
12448236,12448236,B2,2025-10-21,2024-11-22,ipg251021.xml
12398837,12398837,B2,2025-08-26,2023-08-10,ipg250826.xml
12252268,12252268,B2,2025-03-18,2024-10-07,ipg250318.xml
12203373,12203373,B2,2025-01-21,2022-12-22,ipg250121.xml
12202634,12202634,B1,2025-01-21,2023-03-30,ipg250121.xml
12608939,12608939,B2,2026-04-21,2023-07-13,ipg260421.xml
12562061,12562061,B2,2026-02-24,2024-04-15,ipg260224.xml
12200406,12200406,B1,2025-01-14,2024-07-03,ipg250114.xml
12197373,12197373,B1,2025-01-14,2021-02-11,ipg250114.xml
12571646,12571646,B2,2026-03-10,2023-06-15,ipg260310.xml
12620176,12620176,B2,2026-05-05,2022-08-24,ipg260505.xml
12159385,12159385,B1,2024-12-03,2024-06-13,ipg241203.xml
12639952,12639952,B2,2026-05-26,2024-05-23,ipg260526.xml
12550299,12550299,B2,2026-02-10,2023-05-09,ipg260210.xml
12139279,12139279,B1,2024-11-12,2020-05-19,ipg241112.xml
12313099,12313099,B2,2025-05-27,2024-05-02,ipg250527.xml
12395397,12395397,B2,2025-08-19,2023-03-31,ipg250819.xml
12306073,12306073,B2,2025-05-20,2023-02-08,ipg250520.xml
12094200,12094200,B1,2024-09-17,2023-11-05,ipg240917.xml
12271729,12271729,B2,2025-04-08,2023-02-28,ipg250408.xml
12360537,12360537,B2,2025-07-15,2024-04-17,ipg250715.xml
12443182,12443182,B2,2025-10-14,2022-11-10,ipg251014.xml
12062231,12062231,B2,2024-08-13,2023-11-02,ipg240813.xml
11985044,11985044,B1,2024-05-14,2022-11-01,ipg240514.xml
12197829,12197829,B2,2025-01-14,2023-11-14,ipg250114.xml
12468892,12468892,B2,2025-11-11,2023-06-16,ipg251111.xml
12072298,12072298,B2,2024-08-27,2021-08-09,ipg240827.xml
12451021,12451021,B2,2025-10-21,2022-08-04,ipg251021.xml
12228897,12228897,B2,2025-02-18,2023-07-18,ipg250218.xml
11868869,11868869,B1,2024-01-09,2023-06-28,ipg240109.xml
11908121,11908121,B2,2024-02-20,2023-08-08,ipg240220.xml
12481282,12481282,B2,2025-11-25,2021-09-23,ipg251125.xml
12462291,12462291,B2,2025-11-04,2021-10-06,ipg251104.xml
12184509,12184509,B2,2024-12-31,2022-05-16,ipg241231.xml
12326935,12326935,B2,2025-06-10,2022-08-23,ipg250610.xml
11972253,11972253,B2,2024-04-30,2022-04-21,ipg240430.xml
12556454,12556454,B2,2026-02-17,2021-08-23,ipg260217.xml
12332615,12332615,B2,2025-06-17,2022-03-31,ipg250617.xml
12286120,12286120,B2,2025-04-29,2022-12-13,ipg250429.xml
12125262,12125262,B2,2024-10-22,2022-03-08,ipg241022.xml
12585971,12585971,B2,2026-03-24,2023-02-15,ipg260324.xml
12043415,12043415,B2,2024-07-23,2022-12-07,ipg240723.xml
12484096,12484096,B2,2025-11-25,2021-05-13,ipg251125.xml
12528749,12528749,B2,2026-01-20,2021-06-04,ipg260120.xml
12207861,12207861,B2,2025-01-28,2021-12-30,ipg250128.xml
11691727,11691727,B1,2023-07-04,2020-09-08,ipg230704.xml
12275428,12275428,B2,2025-04-15,2021-05-11,ipg250415.xml
11867055,11867055,B2,2024-01-09,2021-12-08,ipg240109.xml
12577048,12577048,B2,2026-03-17,2021-04-27,ipg260317.xml
12607031,12607031,B2,2026-04-21,2023-11-06,ipg260421.xml
11833762,11833762,B2,2023-12-05,2022-10-17,ipg231205.xml
11645877,11645877,B1,2023-05-09,2022-07-27,ipg230509.xml
12205415,12205415,B2,2025-01-21,2023-04-28,ipg250121.xml
12252899,12252899,B2,2025-03-18,2022-10-31,ipg250318.xml
12602597,12602597,B2,2026-04-14,2021-09-27,ipg260414.xml
12639620,12639620,B2,2026-05-26,2021-09-27,ipg260526.xml
12143894,12143894,B2,2024-11-12,2021-08-30,ipg241112.xml
12422158,12422158,B2,2025-09-23,2022-08-30,ipg250923.xml
11594021,11594021,B1,2023-02-28,2022-08-26,ipg230228.xml
12214806,12214806,B2,2025-02-04,2021-08-11,ipg250204.xml
11689412,11689412,B2,2023-06-27,2021-08-04,ipg230627.xml
12141759,12141759,B2,2024-11-12,2021-08-04,ipg241112.xml
11573005,11573005,B1,2023-02-07,2022-06-02,ipg230207.xml
11769381,11769381,B2,2023-09-26,2021-07-20,ipg230926.xml
11626002,11626002,B2,2023-04-11,2021-07-15,ipg230411.xml
11875661,11875661,B2,2024-01-16,2022-12-06,ipg240116.xml
12223819,12223819,B2,2025-02-11,2023-11-14,ipg250211.xml
11858121,11858121,B2,2024-01-02,2021-08-11,ipg240102.xml
11554479,11554479,B1,2023-01-17,2022-08-31,ipg230117.xml
11955020,11955020,B2,2024-04-09,2021-06-09,ipg240409.xml
12509071,12509071,B2,2025-12-30,2020-09-25,ipg251230.xml
11805461,11805461,B2,2023-10-31,2022-08-08,ipg231031.xml
12456154,12456154,B2,2025-10-28,2022-04-12,ipg251028.xml
11770020,11770020,B2,2023-09-26,2022-07-27,ipg230926.xml
11493939,11493939,B1,2022-11-08,2020-03-16,ipg221108.xml
11812196,11812196,B2,2023-11-07,2021-11-18,ipg231107.xml
11881015,11881015,B2,2024-01-23,2020-06-08,ipg240123.xml
11993298,11993298,B2,2024-05-28,2020-10-19,ipg240528.xml
11920814,11920814,B2,2024-03-05,2022-03-24,ipg240305.xml
12061459,12061459,B2,2024-08-13,2021-03-24,ipg240813.xml
11714940,11714940,B2,2023-08-01,2022-06-29,ipg230801.xml
11797733,11797733,B2,2023-10-24,2022-03-17,ipg231024.xml
12462080,12462080,B2,2025-11-04,2023-06-16,ipg251104.xml
12586140,12586140,B2,2026-03-24,2022-05-31,ipg260324.xml
11466805,11466805,B2,2022-10-11,2022-03-03,ipg221011.xml
11436777,11436777,B1,2022-09-06,2021-02-05,ipg220906.xml
11769285,11769285,B2,2023-09-26,2022-08-01,ipg230926.xml
12250044,12250044,B2,2025-03-11,2022-05-19,ipg250311.xml
11583770,11583770,B2,2023-02-21,2021-06-21,ipg230221.xml
11850515,11850515,B2,2023-12-26,2022-07-29,ipg231226.xml
12214283,12214283,B2,2025-02-04,2023-11-14,ipg250204.xml
12365374,12365374,B2,2025-07-22,2020-06-12,ipg250722.xml
11415425,11415425,B1,2022-08-16,2021-09-14,ipg220816.xml
11416369,11416369,B1,2022-08-16,2020-12-18,ipg220816.xml
11940894,11940894,B2,2024-03-26,2022-08-15,ipg240326.xml
12130204,12130204,B2,2024-10-29,2020-08-05,ipg241029.xml
11818640,11818640,B2,2023-11-14,2021-01-29,ipg231114.xml
11393114,11393114,B1,2022-07-19,2018-11-08,ipg220719.xml
12307698,12307698,B1,2025-05-20,2022-06-16,ipg250520.xml
12124926,12124926,B2,2024-10-22,2021-01-22,ipg241022.xml
11696571,11696571,B2,2023-07-11,2021-12-15,ipg230711.xml
12389886,12389886,B2,2025-08-19,2023-05-30,ipg250819.xml
11981337,11981337,B2,2024-05-14,2019-12-10,ipg240514.xml
11348464,11348464,B1,2022-05-31,2022-01-11,ipg220531.xml
11880347,11880347,B2,2024-01-23,2021-04-02,ipg240123.xml
12579120,12579120,B2,2026-03-17,2023-12-08,ipg260317.xml
12012728,12012728,B2,2024-06-18,2020-03-04,ipg240618.xml
12020558,12020558,B2,2024-06-25,2020-03-18,ipg240625.xml
11593952,11593952,B2,2023-02-28,2021-11-04,ipg230228.xml
11935288,11935288,B2,2024-03-19,2022-01-03,ipg240319.xml
11807278,11807278,B2,2023-11-07,2020-10-21,ipg231107.xml
12632950,12632950,B2,2026-05-19,2021-09-27,ipg260519.xml
11932244,11932244,B2,2024-03-19,2021-09-15,ipg240319.xml
12347038,12347038,B2,2025-07-01,2020-09-22,ipg250701.xml
11853953,11853953,B2,2023-12-26,2021-03-22,ipg231226.xml
12101223,12101223,B2,2024-09-24,2019-09-11,ipg240924.xml
12118703,12118703,B2,2024-10-15,2021-07-01,ipg241015.xml
11302034,11302034,B2,2022-04-12,2020-07-09,ipg220412.xml
11216663,11216663,B1,2022-01-04,2020-12-01,ipg220104.xml
11293146,11293146,B2,2022-04-05,2019-11-27,ipg220405.xml
12031922,12031922,B2,2024-07-09,2020-09-30,ipg240709.xml
11361537,11361537,B2,2022-06-14,2020-06-15,ipg220614.xml
11636359,11636359,B2,2023-04-25,2020-06-15,ipg230425.xml
11410404,11410404,B2,2022-08-09,2021-03-23,ipg220809.xml
11785022,11785022,B2,2023-10-10,2020-06-16,ipg231010.xml
11443642,11443642,B2,2022-09-13,2019-06-29,ipg220913.xml
11655701,11655701,B2,2023-05-23,2020-05-01,ipg230523.xml
11514798,11514798,B2,2022-11-29,2020-04-30,ipg221129.xml
12449151,12449151,B2,2025-10-21,2021-04-14,ipg251021.xml
12051047,12051047,B2,2024-07-30,2020-04-07,ipg240730.xml
11360464,11360464,B2,2022-06-14,2021-05-03,ipg220614.xml
11924843,11924843,B2,2024-03-05,2021-03-30,ipg240305.xml
11561546,11561546,B2,2023-01-24,2018-09-28,ipg230124.xml
11656298,11656298,B2,2023-05-23,2021-01-28,ipg230523.xml
11586201,11586201,B2,2023-02-21,2020-08-28,ipg230221.xml
12227304,12227304,B2,2025-02-18,2019-06-26,ipg250218.xml
11790509,11790509,B2,2023-10-17,2021-01-28,ipg231017.xml
11822423,11822423,B2,2023-11-21,2021-02-12,ipg231121.xml
11726194,11726194,B2,2023-08-15,2021-03-31,ipg230815.xml
11654903,11654903,B2,2023-05-23,2021-01-27,ipg230523.xml
11306857,11306857,B2,2022-04-19,2021-04-12,ipg220419.xml
11714878,11714878,B2,2023-08-01,2021-01-19,ipg230801.xml
12130890,12130890,B2,2024-10-29,2023-06-16,ipg241029.xml
11037024,11037024,B1,2021-06-15,2019-11-29,ipg210615.xml
11874676,11874676,B2,2024-01-16,2020-11-21,ipg240116.xml
12353222,12353222,B2,2025-07-08,2023-12-07,ipg250708.xml
11359492,11359492,B2,2022-06-14,2020-11-24,ipg220614.xml
11513233,11513233,B2,2022-11-29,2018-08-29,ipg221129.xml
11710085,11710085,B2,2023-07-25,2019-11-26,ipg230725.xml
12124979,12124979,B2,2024-10-22,2023-05-31,ipg241022.xml
11511493,11511493,B2,2022-11-29,2020-11-13,ipg221129.xml
11719005,11719005,B2,2023-08-08,2019-11-13,ipg230808.xml
11521026,11521026,B2,2022-12-06,2020-09-28,ipg221206.xml
11738461,11738461,B2,2023-08-29,2020-10-14,ipg230829.xml
11959057,11959057,B2,2024-04-16,2020-10-16,ipg240416.xml
12056917,12056917,B2,2024-08-06,2020-10-02,ipg240806.xml
12089038,12089038,B2,2024-09-10,2020-09-28,ipg240910.xml
11938964,11938964,B2,2024-03-26,2020-08-27,ipg240326.xml
11481734,11481734,B2,2022-10-25,2020-09-11,ipg221025.xml
11475385,11475385,B2,2022-10-18,2021-10-21,ipg221018.xml
12443902,12443902,B2,2025-10-14,2020-11-18,ipg251014.xml
11397606,11397606,B2,2022-07-26,2019-08-14,ipg220726.xml
11277317,11277317,B2,2022-03-15,2019-08-05,ipg220315.xml
11310126,11310126,B2,2022-04-19,2019-08-05,ipg220419.xml
11618455,11618455,B2,2023-04-04,2019-08-01,ipg230404.xml
11620742,11620742,B2,2023-04-04,2020-07-14,ipg230404.xml
12270561,12270561,B2,2025-04-08,2019-07-16,ipg250408.xml
12378783,12378783,B2,2025-08-05,2020-06-19,ipg250805.xml
11448544,11448544,B2,2022-09-20,2020-06-17,ipg220920.xml
11361423,11361423,B2,2022-06-14,2020-06-17,ipg220614.xml
11158173,11158173,B2,2021-10-26,2020-08-04,ipg211026.xml
11127295,11127295,B2,2021-09-21,2019-01-22,ipg210921.xml
10825340,10825340,B1,2020-11-03,2017-11-17,ipg201103.xml
11710402,11710402,B2,2023-07-25,2020-10-15,ipg230725.xml
12190726,12190726,B2,2025-01-07,2023-07-24,ipg250107.xml
11491296,11491296,B2,2022-11-08,2020-03-31,ipg221108.xml
10778601,10778601,B1,2020-09-15,2014-12-23,ipg200915.xml
11534919,11534919,B2,2022-12-27,2019-03-06,ipg221227.xml
11969901,11969901,B2,2024-04-30,2022-11-22,ipg240430.xml
11288970,11288970,B2,2022-03-29,2019-12-09,ipg220329.xml
11514800,11514800,B2,2022-11-29,2022-02-25,ipg221129.xml
11551563,11551563,B2,2023-01-10,2022-02-25,ipg230110.xml
10834610,10834610,B2,2020-11-10,2019-02-11,ipg201110.xml
11377212,11377212,B2,2022-07-05,2020-02-07,ipg220705.xml
10892961,10892961,B2,2021-01-12,2019-02-08,ipg210112.xml
11125537,11125537,B2,2021-09-21,2020-01-17,ipg210921.xml
10917168,10917168,B2,2021-02-09,2019-12-18,ipg210209.xml
11443515,11443515,B2,2022-09-13,2019-11-26,ipg220913.xml
11640462,11640462,B2,2023-05-02,2022-08-03,ipg230502.xml
11861002,11861002,B2,2024-01-02,2023-02-19,ipg240102.xml
12118085,12118085,B2,2024-10-15,2023-09-20,ipg241015.xml
12314388,12314388,B2,2025-05-27,2023-11-20,ipg250527.xml
11492905,11492905,B2,2022-11-08,2019-08-30,ipg221108.xml
11521081,11521081,B2,2022-12-06,2018-05-08,ipg221206.xml
11555912,11555912,B2,2023-01-17,2019-04-29,ipg230117.xml
10630704,10630704,B1,2020-04-21,2019-07-26,ipg200421.xml
10630716,10630716,B1,2020-04-21,2019-07-25,ipg200421.xml
10630703,10630703,B1,2020-04-21,2019-07-25,ipg200421.xml
10630715,10630715,B1,2020-04-21,2019-07-25,ipg200421.xml
11022561,11022561,B2,2021-06-01,2019-10-07,ipg210601.xml
11614410,11614410,B2,2023-03-28,2021-03-18,ipg230328.xml
10602383,10602383,B1,2020-03-24,2018-10-15,ipg200324.xml
10902207,10902207,B2,2021-01-26,2018-09-13,ipg210126.xml
10584971,10584971,B1,2020-03-10,2016-10-28,ipg200310.xml
11293761,11293761,B2,2022-04-05,2020-03-09,ipg220405.xml
11412429,11412429,B2,2022-08-09,2018-05-04,ipg220809.xml
10871444,10871444,B2,2020-12-22,2018-12-10,ipg201222.xml
11415486,11415486,B2,2022-08-16,2018-08-30,ipg220816.xml
11740160,11740160,B2,2023-08-29,2022-08-04,ipg230829.xml
12098980,12098980,B2,2024-09-24,2023-07-13,ipg240924.xml
10581851,10581851,B1,2020-03-03,2019-07-17,ipg200303.xml
11201865,11201865,B2,2021-12-14,2020-01-23,ipg211214.xml
12309174,12309174,B2,2025-05-20,2021-11-19,ipg250520.xml
10571283,10571283,B1,2020-02-25,2017-04-07,ipg200225.xml
10573168,10573168,B1,2020-02-25,2018-10-26,ipg200225.xml
RE49864,RE49864,E,2024-03-05,2022-02-24,ipg240305.xml
10574683,10574683,B1,2020-02-25,2019-07-25,ipg200225.xml
11568597,11568597,B2,2023-01-31,2019-07-26,ipg230131.xml
11442438,11442438,B2,2022-09-13,2019-07-26,ipg220913.xml
