__row,Source,Kind Code,Document ID,raw_number,norm_number,Date Published,Filing Date
0,US-PGPUB,A1,US 20260161801 A1,20260161801,20260161801,2026-06-11,2025-10-01
1,US-PGPUB,A1,US 20260160738 A1,20260160738,20260160738,2026-06-11,2025-12-04
2,USPAT,B2,US 12651200 B2,12651200,12651200,2026-06-09,2023-04-25
3,US-PGPUB,A1,US 20260154650 A1,20260154650,20260154650,2026-06-04,2023-11-22
4,US-PGPUB,A1,US 20260153482 A1,20260153482,20260153482,2026-06-04,2024-12-11
5,US-PGPUB,A1,US 20260155675 A1,20260155675,20260155675,2026-06-04,2026-01-21
6,US-PGPUB,A1,US 20260146912 A1,20260146912,20260146912,2026-05-28,2025-11-04
7,US-PGPUB,A1,US 20260140771 A1,20260140771,20260140771,2026-05-21,2024-11-18
8,USPAT,B1,US 12632709 B1,12632709,12632709,2026-05-19,2025-06-06
9,US-PGPUB,A1,US 20260133586 A1,20260133586,20260133586,2026-05-14,2025-11-12
10,US-PGPUB,A1,US 20260133053 A1,20260133053,20260133053,2026-05-14,2024-11-12
11,US-PGPUB,A1,US 20260132580 A1,20260132580,20260132580,2026-05-14,2025-10-07
12,US-PGPUB,A1,US 20260131909 A1,20260131909,20260131909,2026-05-14,2026-01-03
13,US-PGPUB,A1,US 20260126771 A1,20260126771,20260126771,2026-05-07,2025-10-24
14,US-PGPUB,A1,US 20260124391 A1,20260124391,20260124391,2026-05-07,2025-10-29
15,US-PGPUB,A1,US 20260126821 A1,20260126821,20260126821,2026-05-07,2025-12-03
16,US-PGPUB,A1,US 20260117936 A1,20260117936,20260117936,2026-04-30,2025-12-24
17,US-PGPUB,A1,US 20260118209 A1,20260118209,20260118209,2026-04-30,2025-01-02
18,USPAT,B1,US 12613164 B1,12613164,12613164,2026-04-28,2025-08-27
19,USPAT,B1,US 12615334 B1,12615334,12615334,2026-04-28,2025-10-07
20,USPAT,B1,US 12613897 B1,12613897,12613897,2026-04-28,2025-04-30
21,US-PGPUB,A1,US 20260112268 A1,20260112268,20260112268,2026-04-23,2024-05-11
22,USPAT,B1,US 12607996 B1,12607996,12607996,2026-04-21,2025-07-23
23,US-PGPUB,A1,US 20260103218 A1,20260103218,20260103218,2026-04-16,2023-09-28
24,US-PGPUB,A1,US 20260105582 A1,20260105582,20260105582,2026-04-16,2024-10-11
25,US-PGPUB,A1,US 20260104685 A1,20260104685,20260104685,2026-04-16,2025-10-14
26,US-PGPUB,A1,US 20260100927 A1,20260100927,20260100927,2026-04-09,2024-10-09
27,US-PGPUB,A1,US 20260089003 A1,20260089003,20260089003,2026-03-26,2025-07-21
28,US-PGPUB,A1,US 20260087402 A1,20260087402,20260087402,2026-03-26,2024-09-24
29,US-PGPUB,A1,US 20260087167 A1,20260087167,20260087167,2026-03-26,2025-02-14
30,USPAT,B1,US 12583715 B1,12583715,12583715,2026-03-24,2023-06-05
31,US-PGPUB,A1,US 20260079896 A1,20260079896,20260079896,2026-03-19,2025-11-21
32,USPAT,B1,US 12580833 B1,12580833,12580833,2026-03-17,2024-11-08
33,US-PGPUB,A1,US 20260136216 A1,20260136216,20260136216,2026-05-14,2024-11-20
34,US-PGPUB,A1,US 20260135759 A1,20260135759,20260135759,2026-05-14,2024-11-20
35,US-PGPUB,A1,US 20260135757 A1,20260135757,20260135757,2026-05-14,2024-11-20
36,US-PGPUB,A1,US 20260070230 A1,20260070230,20260070230,2026-03-12,2023-08-01
37,US-PGPUB,A1,US 20260072446 A1,20260072446,20260072446,2026-03-12,2024-08-22
38,US-PGPUB,A1,US 20260072417 A1,20260072417,20260072417,2026-03-12,2025-11-16
39,US-PGPUB,A1,US 20260072656 A1,20260072656,20260072656,2026-03-12,2025-08-15
40,US-PGPUB,A1,US 20260072759 A1,20260072759,20260072759,2026-03-12,2025-06-05
41,US-PGPUB,A1,US 20260073516 A1,20260073516,20260073516,2026-03-12,2025-09-28
42,US-PGPUB,A1,US 20260066968 A1,20260066968,20260066968,2026-03-05,2023-08-01
43,US-PGPUB,A1,US 20260063504 A1,20260063504,20260063504,2026-03-05,2023-08-29
44,US-PGPUB,A1,US 20260063025 A1,20260063025,20260063025,2026-03-05,2025-08-13
45,US-PGPUB,A1,US 20260063419 A1,20260063419,20260063419,2026-03-05,2025-08-27
46,US-PGPUB,A1,US 20260065680 A1,20260065680,20260065680,2026-03-05,2025-08-27
47,US-PGPUB,A1,US 20260057776 A1,20260057776,20260057776,2026-02-26,2025-05-27
48,US-PGPUB,A1,US 20260052520 A1,20260052520,20260052520,2026-02-19,2024-08-15
49,US-PGPUB,A1,US 20260049766 A1,20260049766,20260049766,2026-02-19,2025-07-28
50,US-PGPUB,A1,US 20260048591 A1,20260048591,20260048591,2026-02-19,2025-07-10
51,US-PGPUB,A1,US 20260048424 A1,20260048424,20260048424,2026-02-19,2024-08-16
52,USPAT,B1,US 12556441 B1,12556441,12556441,2026-02-17,2024-08-15
53,US-PGPUB,A1,US 20260052058 A1,20260052058,20260052058,2026-02-19,2024-08-15
54,USPAT,B1,US 12553766 B1,12553766,12553766,2026-02-17,2025-07-14
55,US-PGPUB,A1,US 20260044801 A1,20260044801,20260044801,2026-02-12,2025-10-17
56,USPAT,B1,US 12548341 B1,12548341,12548341,2026-02-10,2025-06-02
57,US-PGPUB,A1,US 20260037684 A1,20260037684,20260037684,2026-02-05,2025-07-14
58,US-PGPUB,A1,US 20260037683 A1,20260037683,20260037683,2026-02-05,2025-07-14
59,US-PGPUB,A1,US 20260030135 A1,20260030135,20260030135,2026-01-29,2025-07-23
