Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number,target_xml,reason
checked,,265,,,,,,,US 20230295935 A1,2023-09-21,79315428,35,METHOD FOR CONSTRUCTING ACCESS FLOOR BY USING UNMANNED ROBOT,B25J11/00;E04F21/1872;B25J9/1679;B25J11/008;B25J15/008;B25J15/0616;E04F15/02458;E04F21/22,,JEON; Hae Moon et al.,SAMSUNG C&T CORPORATION,18/013809,2021-06-21,,,294/2,,SAMSUNG C&T CORPORATION,,,33.626026,,20230295935,A1,US-PGPUB,20230295935,ipa230921.xml,not_found_in_file
checked,,268,,,,,,,US 20230300579 A1,2023-09-21,88067714,63,EDGE-CENTRIC TECHNIQUES AND TECHNOLOGIES FOR MONITORING ELECTRIC VEHICLES,B60L53/67;H04W4/44;B60L58/10;B60L53/66;B60L53/665;G06Q20/145;G06Q30/0284;B60L53/68;G06Q50/40;B60L53/65,B60L2260/54;B60L2260/52;B60L2240/72;B60L2240/68;B60L2240/622,Merwaday; Arvind et al.,,18/090029,2022-12-28,,,701/423,,Intel Corporation,,,14.799784,,20230300579,A1,US-PGPUB,20230300579,ipa230921.xml,not_found_in_file
checked,1,1089,,,,,,,US 20130304251 A1,2013-11-14,48576190,25,Automated Inspection of Spar Web in Hollow Monolithic Structure,G01N29/043;G01N29/225;G01N29/265,G01N2291/0231;G01N2291/106;G01N2291/2636;G01N2291/2694,Garvey; Jeffry J. et al.,THE BOEING COMPANY,13/470125,2012-05-11,,,700/213,254/10C;702/56;248/125.2;254/126;73/618,"Garvey; Jeffry J.,Kennedy; James C.,Troy; James J.",,,19.351677,,20130304251,A1,US-PGPUB,20130304251,,no_file_in_range
checked,2,1091,,,,,,,US 20130153324 A1,2013-06-20,48609005,12,Environment Adaptive Electric Vehicle with Lock On Security and Control Saddle,B60R19/205;B61B13/06;B60K7/0007;B61B13/00;B60F1/043;B62D21/152,,"Kissel, JR.; Waldemar F.","WFK & ASSOCIATES, LLC",13/649621,2012-10-11,,,180/253,,"Kissel, JR.; Waldemar F.",,,16.846182,,20130153324,A1,US-PGPUB,20130153324,,no_file_in_range
checked,1,1094,,,,,,,US 20130154850 A1,2013-06-20,48609579,107,METHOD AND SYSTEM FOR AUTOMATED POWER METER INFRASTRUCTURE,G08C19/00;G01D4/002,Y04S20/30;Y02B90/20;G01D2204/45,CHAN; Tat-Keung et al.,Jetlun Corporation,13/767098,2013-02-14,,,340/870.02,,Jetlun Corporation;,,,14.462643,,20130154850,A1,US-PGPUB,20130154850,,no_file_in_range
checked,1,1096,,,,,,,US 20130155058 A1,2013-06-20,48609665,57,FOUR-DIMENSIONAL AUGMENTED REALITY MODELS FOR INTERACTIVE VISUALIZATION AND AUTOMATED CONSTRUCTION PROGRESS MONITORING,G06Q10/06311;G06Q10/103;G06T17/00;G06T7/001;G06T19/006,G06T2210/04;G06T2207/10028;G06T2207/30132;G06T2207/20076,Golparvar-Fard; Mani et al.,The Board of Trustees of the University of Illinois,13/712362,2012-12-12,,,345/419,,The Board of Trustees of the University of Illinois;,,,18.269993,,20130155058,A1,US-PGPUB,20130155058,,no_file_in_range
checked,,1099,,,,,,,US 20130110932 A1,2013-05-02,48173533,7,AUTOMATED ACTION BUILDING FOR SOCIAL NETWORKING DATA CHANGES IN A CUSTOMER RELATIONSHIP MANAGEMENT (CRM),G06Q10/06311;G06Q10/107;G06Q10/40;G06Q30/02;H04L69/329,,Itani; Majed et al.,SUGARCRM INC.,13/714364,2012-12-13,,,709/204,,SUGARCRM INC.;,,,17.821228,,20130110932,A1,US-PGPUB,20130110932,,no_file_in_range
checked,,1100,,,,,,,US 20130097306 A1,2013-04-18,48086757,19,"SYSTEM AND METHOD FOR MONITORING, MANAGING AND CONTROLLING A PLURALITY OF DEVICES USING CLOUD RESOURCES",H04L12/6418,,Dhunay; Nav,,13/275879,2011-10-18,,,709/224,,Dhunay; Nav,,,13.447836,,20130097306,A1,US-PGPUB,20130097306,,no_file_in_range
checked,1,1101,,,,,,,US 20130073488 A1,2013-03-21,44507205,20,"METRICS MONITORING AND FINANCIAL VALIDATION SYSTEM (M2FVS) FOR TRACKING PERFORMANCE OF CAPITAL, OPERATIONS, AND MAINTENANCE INVESTMENTS TO AN INFRASTRUCTURE",G06Q10/04,,Anderson; Roger N. et al.,,13/589737,2012-08-20,,,706/12,,"Anderson; Roger N.,Boulanger; Albert,Wu; Leon L.",,,24.889668,,20130073488,A1,US-PGPUB,20130073488,,no_file_in_range
checked,1,1103,,,,,,,US 20130066470 A1,2013-03-14,47830560,7,AUTOMATED BUILDING MONITORING SYSTEM,H04L12/2834;H04L12/2818;G05B15/02;H04L12/2825,G05B2219/2642,Wang; I-Yu et al.,"Chunghwa Telecom Co., Ltd.",13/332808,2011-12-21,,,700/275,,"Wang; I-Yu,Pan; Ming-Hsien,Chang; Chin-Hsuan",,,23.814678,,20130066470,A1,US-PGPUB,20130066470,,no_file_in_range
checked,,1105,,,,,,,US 20120296689 A1,2012-11-22,55167925,76,Computer Implemented Method and System for Analyzing Business Processes,G06Q10/0639;G06Q10/06;G05B23/0294,,Wewalaarachchi; Bandu et al.,,13/463248,2012-05-03,,,705/7.26,705/7.12,,,,10.85942,,20120296689,A1,US-PGPUB,20120296689,,no_file_in_range
checked,1,1106,,,,,,,US 20120213625 A1,2012-08-23,46652871,11,Robotic Palletizer Cell And Method Of Construction,B65G57/03;B65G61/00;E04B2/7433,,Roberts; Brian Thomas,,13/400213,2012-02-20,,,414/788.1,52/741.1,,,,10.690969,,20120213625,A1,US-PGPUB,20120213625,,no_file_in_range
