Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number
checked,,1,,,,,,,US 20260161801 A1,2026-06-11,1000009149200,28,COLLECTIVE CONTEXTUAL INTELLIGENCE FOR ENHANCED VULNERABILITY ASSESSMENT AND PENETRATION TESTING,G06F21/577,G06F2221/034,ABDULMAJEED; REJAH REHIM ANGADITHODIYIL et al.,,19/347697,2025-10-01,,,1/1,,"ABDULMAJEED; REJAH REHIM ANGADITHODIYIL,VASUDEVAN; PRATHAPACHANDRAN",,,8.591063,,20260161801,A1,US-PGPUB,20260161801
checked,,2,,,,,,,US 20260160738 A1,2026-06-11,1000009156634,32,"SYSTEM, METHOD, AND APPARATUS TO SUPPORT ON-SITE CONCRETE INSPECTION",G01N29/265;G01B17/02;G01N29/07;G01N33/383;G05D1/689,G01N2291/011;G01N2291/0232;G01N2291/02854;G01N2291/0289;G05D2105/89,van Vianen; Weronika et al.,,19/409505,2025-12-04,,,1/1,,"Gecko Robotics, Inc",,,18.396826,,20260160738,A1,US-PGPUB,20260160738
checked,,4,,,,,,,US 20260154650 A1,2026-06-04,89768236,24,COMPUTERIZED SYSTEMS AND METHODS FOR LOCATION MANAGEMENT,G06Q10/06398;G05D1/246;G05D1/648;G06F16/29;G06Q10/063114;G06Q10/06316;G06V10/764;G06V20/52;G06V40/10;G06V40/20;G08B21/02;G08B21/0423;G08B21/06;G08B21/18;H04L67/125;H04L67/52;H04L67/535,G05D2109/10;G05D2111/32;H04L67/10,Szu; Im et al.,IRON HORSE AI PRIVATE LIMITED,19/132587,2023-11-22,,,1/1,,IRON HORSE AI PRIVATE LIMITED,,,34.929443,,20260154650,A1,US-PGPUB,20260154650
checked,,5,,,,,,,US 20260153482 A1,2026-06-04,91640615,15,An Airborne Detection Device and Operational Method for Cracks in Concrete Infrastructure Structures,G01N29/069;B64U20/87;G01N29/225;G06T7/0004,B64U2101/26;G01N33/383;G06T2207/20084;G06T2207/30132,WANG; JiPeng et al.,"Shandong University,Shandong Bowee Vision Information Technology Co., Ltd",18/976392,2024-12-11,,,1/1,,Shandong University,,,34.580418,,20260153482,A1,US-PGPUB,20260153482
checked,,6,,,,,,,US 20260155675 A1,2026-06-04,99956758,41,SYMBOLIC RESONANT ENERGY TRANSFER NETWORK FOR PLANETARY-SCALE WIRELESS POWER DISTRIBUTION AND CONSUMPTION AUDITING,H02J50/00;H04L63/04,,Odeh; Samuel,,19/455528,2026-01-21,,,1/1,,Odeh; Samuel,,,11.656567,,20260155675,A1,US-PGPUB,20260155675
checked,,7,,,,,,,US 20260146912 A1,2026-05-28,99883347,20,SENSOR DATA COMPRESSION FOR EFFICIENT DATA TRANSFER,G01M7/025;G01P15/18,,Sierra Alonso; Edgar Felipe et al.,,19/379122,2025-11-04,,,1/1,,Tractian Technologies Inc,,,26.979263,,20260146912,A1,US-PGPUB,20260146912
checked,,8,,,,,,,US 20260140771 A1,2026-05-21,99804808,17,SYSTEM AND METHOD FOR DIRECTING RESOURCE ALLOCATIONS USING AN ARTIFICIAL INTELLIGENCE AGENT,G06F9/5005;G06F9/5027,,Dintenfass; Katherine et al.,BANK OF AMERICA CORPORATION,18/950781,2024-11-18,,,1/1,,BANK OF AMERICA CORPORATION,,,12.670215,,20260140771,A1,US-PGPUB,20260140771
checked,,10,,,,,,,US 20260133586 A1,2026-05-14,97599154,57,VIRTUAL SAFETY BUBBLES FOR SAFE NAVIGATION OF CONSTRUCTION VEHICLES,E02F9/262;G05D1/622;E02F9/205;E02F9/2054;E02F9/24;G05D1/248;G05D1/69,G05D2105/05;G05D2107/90;G05D2109/10,Sripadam; Maya Devi et al.,,19/387204,2025-11-12,,,1/1,,Deere & Company,,,25.830196,,20260133586,A1,US-PGPUB,20260133586
checked,,11,,,,,,,US 20260133053 A1,2026-05-14,99549440,16,SYSTEMS AND METHODS FOR MONITORING AND RECALIBRATING INFRASTRUCTURE AND VEHICLE SENSORS,G01C25/00;G01C21/28,B62D65/18,Diamond; Brendan et al.,"Ford Global Technologies, LLC",18/945178,2024-11-12,,,1/1,,"Ford Global Technologies, LLC",,,16.71413,,20260133053,A1,US-PGPUB,20260133053
checked,,12,,,,,,,US 20260132580 A1,2026-05-14,99764063,16,ILLUMINATED ACCESSORY DEVICE FOR ENHANCING THE VISIBILITY OF WARNING SIGNAGE,E01F9/615;E01F9/658,,Villavicencio; Hector Guillermo,"TRITTECH, LLC.",19/351322,2025-10-07,,,1/1,,Villavicencio; Hector Guillermo,,,10.53433,,20260132580,A1,US-PGPUB,20260132580
checked,,13,,,,,,,US 20260131909 A1,2026-05-14,99764259,9,SYSTEM AND METHOD FOR AUTOMATED PRE-LAUNCH AND POST-LAUNCH INSPECTION OF SPACE LAUNCH VEHICLES AND INFRASTRUCTURE USING COORDINATED DRONE SWARMS,B64G5/00;B64U20/30;B64G1/002;B64G1/52;B64U20/60;B64U20/80;B64U50/10;B64U50/38,B64U2101/30;B64U2201/102,Singleton; Daniel Ryan,,19/439347,2026-01-03,,,1/1,,Singleton; Daniel Ryan,,,42.14686,,20260131909,A1,US-PGPUB,20260131909
checked,,14,,,,,,,US 20260126771 A1,2026-05-07,98011603,109,Smart Fixture Method and System for Persistent Occupant Tracking and Real-Time Control of Building Subsystems,G05B19/0428;H02J13/38;G08C17/02;H02J9/005;H02J13/12;H02J13/1337,G05B2219/2642;G08C2201/12;G08C2201/30,"Ross, JR.; Bruce Eliot",,19/368726,2025-10-24,,,1/1,,ARQAIOS INC.,,,14.975482,,20260126771,A1,US-PGPUB,20260126771
checked,,15,,,,,,,US 20260124391 A1,2026-05-07,99635109,96,INTELLIGENT DOSING PLATFORM WITH ADVANCED PREDICTIVE ANALYTICS AND FORECASTING CAPABILITIES FOR INJECTABLE MEDICATION MANAGEMENT,A61M5/172;G16H20/17;A61M5/14244;A61M5/1723;G16H10/20;G16H10/60;G16H15/00;G16H40/20;G16H40/63;G16H40/67;G16H50/20;G16H50/70;G16H80/00,A61M5/20;A61M2205/3553;A61M2205/50,Corbett; Jeremy,"DATADOSE, LLC",19/373504,2025-10-29,,,1/1,,"DATADOSE, LLC",,,17.870903,,20260124391,A1,US-PGPUB,20260124391
checked,,16,,,,,,,US 20260126821 A1,2026-05-07,99635694,15,SYSTEM FOR MONITORING AND CONTROLLING PIPE TEMPERATURE,E03B7/12;G05D23/1917,,Alexander; Daryl B. et al.,,19/407692,2025-12-03,,,1/1,,"Alexander; Daryl B.,Abidin; Randolph Louis",,,17.466295,,20260126821,A1,US-PGPUB,20260126821
checked,,17,,,,,,,US 20260117936 A1,2026-04-30,93945262,21,SYSTEM FOR CONTROLLING SMART GAS PIPELINE MONITORING DEVICES,F17D5/06;F17D5/005,,SHAO; Zehua et al.,"CHENGDU QINCHUAN IOT TECHNOLOGY CO., LTD.",19/432917,2025-12-24,,,1/1,,"CHENGDU QINCHUAN IOT TECHNOLOGY CO., LTD.",,,21.588533,,20260117936,A1,US-PGPUB,20260117936
checked,,18,,,,,,,US 20260118209 A1,2026-04-30,99550805,137,"COMPUTERIZED TECHNIQUES FOR MONITORING AND ASSESSING REAL-TIME AND FUTURE OPERATIONAL AND HEALTH STATUSES OF PHYSICAL COMPONENTS , EQUIPMENT, AND/OR STRUCTURES USING MACHINE LEARNING BASED MODELS",G01M3/26;G01M3/2807;G06N5/04,,Greenboim; Abraham,IoT TECHNOLOGIES LLC,19/008520,2025-01-02,,,1/1,,IoT TECHNOLOGIES LLC,,,33.186363,,20260118209,A1,US-PGPUB,20260118209
checked,,22,,,,,,,US 20260112268 A1,2026-04-23,91996818,23,VEHICLE-ROAD COLLABORATIVE CONTROL ARCHITECTURE SYSTEM BASED ON DATAMECHANISM COUPLED MODELING AND CONSTRUCTION METHOD THEREOF,G08G1/096783;G08G1/166;G08G1/096725;G08G1/164,,CAI; Yingfeng et al.,,19/137311,2024-05-11,,,1/1,,Jiangsu University,,,12.256113,,20260112268,A1,US-PGPUB,20260112268
checked,,24,,,,,,,US 20260103218 A1,2026-04-16,90479104,23,XYZ MOTION PLANNING FOR VEHICLES,B60W60/0011;G08G1/166;B60W10/18;B60W10/22;B60W30/025;B60W40/06;B60W60/0013;B60W60/0015;B60W60/0023;G01C21/3407;G08G1/09626;G08G1/096725;G08G1/096775;G08G1/096791;G08G1/096827;G08G1/096844,B60W2420/408;B60W2552/35,Jiang; Yu et al.,"CLEARMOTION, INC.",19/114669,2023-09-28,,,1/1,,"CLEARMOTION, INC.",,,11.028633,,20260103218,A1,US-PGPUB,20260103218
checked,,25,,,,,,,US 20260105582 A1,2026-04-16,97064974,15,Compliance Guardian System,G06T7/0002;G06V20/52;G06T11/00;G06V10/764;G06V10/765;G06V10/82;G06V10/945;G06V20/20;G06V40/10;G06V40/103,G06T2200/24;G06T2207/20081;G06T2207/20084;G06T2207/20092;G06T2207/30196,Mello; Andres et al.,"ADP, INC",18/913121,2024-10-11,,,1/1,,"ADP, INC",,,36.007744,,20260105582,A1,US-PGPUB,20260105582
checked,,26,,,,,,,US 20260104685 A1,2026-04-16,99437049,16,Health and Energy Co-Optimization in Building Monitoring,F24F11/65;G05B15/02;F24F11/46,F24F2110/10;F24F2110/70;F24F2120/10,ALLEN; Joseph G. et al.,"9 Foundations, Inc.",19/357998,2025-10-14,,,1/1,,"9 Foundations, Inc.",,,35.351326,,20260104685,A1,US-PGPUB,20260104685
checked,,27,,,,,,,US 20260100927 A1,2026-04-09,99313503,18,SYSTEMS AND METHODS OF MONITORING A MARSHALING STATE TRANSITION OF AN AUTOMATED VEHICLE,H04L51/222;H04W4/022;H04W4/42;H04W4/44,,Bandi; Krishna et al.,"Ford Global Technologies, LLC",18/910463,2024-10-09,,,1/1,,"Ford Global Technologies, LLC",,,14.358206,,20260100927,A1,US-PGPUB,20260100927
checked,,28,,,,,,,US 20260089003 A1,2026-03-26,99140507,73,"Symbolic Social Sovereignty Protocol (S3P): A Decentralized Framework for Identity Integrity, Consent-Aware Media, and Algorithmic Transparency",H04L9/3218;H04L9/3231,,Odeh; Samuel,,19/274675,2025-07-21,,,1/1,,Odeh; Samuel,,,10.10614,,20260089003,A1,US-PGPUB,20260089003
checked,,29,,,,,,,US 20260087402 A1,2026-03-26,99141793,37,Model Controller Framework for Automated Model Deployment & Monitoring,G06N20/00,,Singh; Daljeet et al.,,18/894497,2024-09-24,,,1/1,,Bank of America Corporation,,,34.34948,,20260087402,A1,US-PGPUB,20260087402
checked,,30,,,,,,,US 20260087167 A1,2026-03-26,99141810,20,SECURE FEDERATED LEARNING SYSTEM FOR HEALTHCARE DATA MANAGEMENT WITH PRIVACY PRESERVATION AND REGULATORY COMPLIANCE,G06F21/6245;G06F21/554;G06N20/00,G06F2221/034,Arefin; Sabira,,19/053455,2025-02-14,,,1/1,,Arefin; Sabira,,,26.54201,,20260087167,A1,US-PGPUB,20260087167
checked,,32,,,,,,,US 20260079896 A1,2026-03-19,99061078,41,SYSTEM AND METHOD FOR ARTIFICIAL INTELLIGENCE DRIVEN BLOCKCHAIN FRAMEWORK SUPPORTING SECURE SCALABLE SMART CITY DEVELOPMENT,G06F16/211,,ASIRI; Mashael Mohammed et al.,KING KHALID UNIVERSITY,19/397335,2025-11-21,,,1/1,,"ASIRI; Mashael Mohammed,ALANGARI; Someah",,,11.778998,,20260079896,A1,US-PGPUB,20260079896
checked,,34,,,,,,,US 20260136216 A1,2026-05-14,99102029,28,SYSTEMS AND METHODS FOR WIRELESS NETWORK MANAGEMENT,H04L43/08;H04W64/003;H04L41/0813;H04L41/0823;H04L41/0836;H04L41/16;H04L67/025;H04W24/08,,CHANG; Richard et al.,,18/953321,2024-11-20,,,1/1,,"PLUME DESIGN, INC.",,,12.386987,,20260136216,A1,US-PGPUB,20260136216
checked,,35,,,,,,,US 20260135759 A1,2026-05-14,99102029,27,SYSTEMS AND METHODS FOR WIRELESS NETWORK MANAGEMENT,H04L43/08;H04W64/003;H04L41/0813;H04L41/0823;H04L41/0836;H04L41/16;H04L67/025;H04W24/08,,CHANG; Richard et al.,,18/953220,2024-11-20,,,1/1,,"PLUME DESIGN, INC",,,12.386987,,20260135759,A1,US-PGPUB,20260135759
