Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number
checked,,1095,,,,,,,US 8581743 B2,2013-11-12,48609579,107,Method and system for automated power meter infrastructure,G01D4/002;G08C19/00,Y04S20/30;G01D2204/45;Y02B90/20,Chan; Tat-Keung et al.,Jetlun Corporation,13/767098,2013-02-14,Wong; Albert,,340/870.03,713/194;361/660;340/870.41;324/114,Jetlun Corporation,,,14.158631,,8581743,B2,USPAT,8581743
checked,,1098,,,,,,,US 8457808 B2,2013-06-04,40523972,24,Automated infrastructure delivery system,B60L5/38;B60M7/00,B60L2200/26;Y02T90/16,Michnik; Alisa et al.,,12/218687,2008-07-16,Tarcza; Thomas,Pipala; Edward,701/1,701/23;701/24;340/870.07;404/3;340/910;340/988;404/84.05;404/1;701/117,"Michnik; Alisa,Michnik; Yefim",,,18.410946,,8457808,B2,USPAT,8457808
checked,,1130,,,,,,,US 8285800 B2,2012-10-09,45353556,22,Service model creation using monitored data of the performance management tool,G06F11/3409;G06F11/3006;G06Q40/02;G06F11/3419;G06F11/3495;G06F11/3051,G06F2201/87,Oostlander; Bart et al.,Compuware Corporation,12/823516,2010-06-25,Jean Gilles; Jude,,709/206,709/218;715/234;715/760;709/223;709/230;709/202;370/255;715/205;714/16;714/13,,,,10.90905,,8285800,B2,USPAT,8285800
checked,,1133,,,,,,,US 8505461 B2,2013-08-13,44352662,29,Line inspection robot and system,H02G1/02,,Phillips; Andrew John et al.,"Electric Power Research Institute, Inc.",13/024535,2011-02-10,Morano; S. Joseph,Kuhfuss; Zachary,104/87,104/112,"Phillips; Andrew John,Major; Mark,Bartlett; Glynn R.",,,22.700653,,8505461,B2,USPAT,8505461
checked,,1138,,,,,,,US 8327769 B2,2012-12-11,41722092,25,Large rideable bipedal walking robot for use as an amusement park ride and amusement park system using the same,A63G31/02;A63G7/00,,Kim; In-Sang,,13/032773,2011-02-23,Smith; Jason C,,104/53,472/27,,,,22.614851,,8327769,B2,USPAT,8327769
checked,,1143,,,,,,,US 8527955 B2,2013-09-03,43731728,65,System and method to classify automated code inspection services defect output for defect analysis,G06F11/3604;G06F11/3668;G06F9/44589,,Baker; Ian E. et al.,International Business Machines Corporation,12/558274,2009-09-11,Das; Chameli,,717/126,717/131;717/124;717/127;717/128;714/38.1,"Baker; Ian E.,Bassin; Kathryn A.,Kagan; Steven,Skrabanek; Susan E.",,,15.09244,,8527955,B2,USPAT,8527955
checked,,1156,,,,,,,US 8138940 B2,2012-03-20,43029970,16,Municipal operations monitoring and alert system,G06Q50/26;G08B25/006;G06Q10/06,H04H20/59,Horton; Cathy et al.,,12/434392,2009-05-01,Pope; Daryl,,340/815.4,340/506;340/539.1;340/3.1;340/539.11,,,,13.925424,,8138940,B2,USPAT,8138940
checked,,1158,,,,,,,US 8315789 B2,2012-11-20,39765268,8,Method for planning and executing obstacle-free paths for rotating excavation machinery,E02F9/2045;G05D1/0274;E02F9/2033;E02F9/262;E02F9/265,G05D1/0278;G05D1/0257;G05D1/0246;G05D1/024,Dunbabin; Matthew et al.,Commonwealth Scientific and Industrial Research Organisation,12/532329,2008-01-16,Nguyen; Cuong H,,701/301,340/436;701/532;701/468;340/903;701/469,,,,25.543335,,8315789,B2,USPAT,8315789
checked,,1164,,,,,,,US 8494798 B2,2013-07-23,41726544,36,"Automated model building and batch model building for a manufacturing process, process monitoring, and fault detection",G05B19/41885,G05B2219/32075;G05B2219/32076;G05B2219/45031,Kettaneh; Nouna et al.,"MKS Instruments, Inc.",12/202848,2008-09-02,Bhat; Aditya,,702/83,,"Kettaneh; Nouna,Wold; Svante Bjarne",,,10.127897,,8494798,B2,USPAT,8494798
checked,,1171,,,,,,,US 7614303 B2,2009-11-10,39792019,11,Device for measuring bulk stress via insonification and method of use therefor,G01N29/4409;G01N29/223;G01N29/07;G01H5/00,G01N2291/048,McInerney; Michael K. et al.,The United States of America as represented by the Secretary of the Army,11/727600,2007-03-27,Surin; J M Saint,,73/597,73/761;73/598;73/602,,,,9.374182,,7614303,B2,USPAT,7614303
