Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
checked,,1,,,,,,,US 20260161801 A1,2026-06-11,1000009149200,28,COLLECTIVE CONTEXTUAL INTELLIGENCE FOR ENHANCED VULNERABILITY ASSESSMENT AND PENETRATION TESTING,G06F21/577,G06F2221/034,"ABDULMAJEED; REJAH REHIM ANGADITHODIYIL et al.",,19/347697,2025-10-01,,,1/1,,"ABDULMAJEED; REJAH REHIM ANGADITHODIYIL,VASUDEVAN; PRATHAPACHANDRAN",,,8.591063,
checked,,2,,,,,,,US 20260160738 A1,2026-06-11,1000009156634,32,"SYSTEM, METHOD, AND APPARATUS TO SUPPORT ON-SITE CONCRETE INSPECTION","G01N29/265;G01B17/02;G01N29/07;G01N33/383;G05D1/689","G01N2291/011;G01N2291/0232;G01N2291/02854;G01N2291/0289;G05D2105/89","van Vianen; Weronika et al.",,19/409505,2025-12-04,,,1/1,,"Gecko Robotics, Inc",,,18.396826,
checked,,3,,,,,,,US 12651200 B2,2026-06-09,1000009317583,18,"Self-contained artificial intelligence (AI) exectuable to automate model hosting, deployment, and AI life cycle",G06N20/00,,"Mallya Kasaragod; Sunil et al.",Flip Technology Corporation,18/306915,2023-04-25,"Yesildag; Mehmet",,1/1,,Flip Technology Corporation,,,38.846245,
checked,,4,,,,,,,US 20260154650 A1,2026-06-04,89768236,24,COMPUTERIZED SYSTEMS AND METHODS FOR LOCATION MANAGEMENT,"G06Q10/06398;G05D1/246;G05D1/648;G06F16/29;G06Q10/063114;G06Q10/06316;G06V10/764;G06V20/52;G06V40/10;G06V40/20;G08B21/02;G08B21/0423;G08B21/06;G08B21/18;H04L67/125;H04L67/52;H04L67/535","G05D2109/10;G05D2111/32;H04L67/10","Szu; Im et al.",IRON HORSE AI PRIVATE LIMITED,19/132587,2023-11-22,,,1/1,,IRON HORSE AI PRIVATE LIMITED,,,34.929443,
checked,,5,,,,,,,US 20260153482 A1,2026-06-04,91640615,15,An Airborne Detection Device and Operational Method for Cracks in Concrete Infrastructure Structures,"G01N29/069;B64U20/87;G01N29/225;G06T7/0004","B64U2101/26;G01N33/383;G06T2207/20084;G06T2207/30132","WANG; JiPeng et al.","Shandong University,Shandong Bowee Vision Information Technology Co., Ltd",18/976392,2024-12-11,,,1/1,,Shandong University,,,34.580418,
checked,,6,,,,,,,US 20260155675 A1,2026-06-04,99956758,41,SYMBOLIC RESONANT ENERGY TRANSFER NETWORK FOR PLANETARY-SCALE WIRELESS POWER DISTRIBUTION AND CONSUMPTION AUDITING,"H02J50/00;H04L63/04",,"Odeh; Samuel",,19/455528,2026-01-21,,,1/1,,"Odeh; Samuel",,,11.656567,
checked,,7,,,,,,,US 20260146912 A1,2026-05-28,99883347,20,SENSOR DATA COMPRESSION FOR EFFICIENT DATA TRANSFER,"G01M7/025;G01P15/18",,"Sierra Alonso; Edgar Felipe et al.",,19/379122,2025-11-04,,,1/1,,Tractian Technologies Inc,,,26.979263,
checked,,8,,,,,,,US 20260140771 A1,2026-05-21,99804808,17,SYSTEM AND METHOD FOR DIRECTING RESOURCE ALLOCATIONS USING AN ARTIFICIAL INTELLIGENCE AGENT,"G06F9/5005;G06F9/5027",,"Dintenfass; Katherine et al.",BANK OF AMERICA CORPORATION,18/950781,2024-11-18,,,1/1,,BANK OF AMERICA CORPORATION,,,12.670215,
checked,,9,,,,,,,US 12632709 B1,2026-05-19,99821853,30,Enhancing artificial neural networks with ephaptic coupling,"G06N3/048;G06N3/049;G06N3/006;G06N3/04;G06N3/044;G06N3/0442;G06N3/045;G06N3/0464;G06N3/047;G06N3/063;G06N3/065;G06N3/08;G06N3/082;G06N3/084;G06N3/088;G06N3/09;G06N3/092;G06N7/01",,"Wane; Ismaila",Ephapsys Inc.,19/231306,2025-06-06,"Smith; Brian M",,1/1,,Ephapsys Inc.,,,8.671544,
checked,,10,,,,,,,US 20260133586 A1,2026-05-14,97599154,57,VIRTUAL SAFETY BUBBLES FOR SAFE NAVIGATION OF CONSTRUCTION VEHICLES,"E02F9/262;G05D1/622;E02F9/205;E02F9/2054;E02F9/24;G05D1/248;G05D1/69","G05D2105/05;G05D2107/90;G05D2109/10","Sripadam; Maya Devi et al.",,19/387204,2025-11-12,,,1/1,,Deere & Company,,,25.830196,
checked,,11,,,,,,,US 20260133053 A1,2026-05-14,99549440,16,SYSTEMS AND METHODS FOR MONITORING AND RECALIBRATING INFRASTRUCTURE AND VEHICLE SENSORS,"G01C25/00;G01C21/28",B62D65/18,"Diamond; Brendan et al.","Ford Global Technologies, LLC",18/945178,2024-11-12,,,1/1,,"Ford Global Technologies, LLC",,,16.71413,
checked,,12,,,,,,,US 20260132580 A1,2026-05-14,99764063,16,ILLUMINATED ACCESSORY DEVICE FOR ENHANCING THE VISIBILITY OF WARNING SIGNAGE,"E01F9/615;E01F9/658",,"Villavicencio; Hector Guillermo","TRITTECH, LLC.",19/351322,2025-10-07,,,1/1,,"Villavicencio; Hector Guillermo",,,10.53433,
